province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
1,6,Hoàng Cầu,1,106.0,106000.0,240.0,1,11.0,5,3,9,"Kinh doanh, Ô tô, Mặt phố"
1,6,Nguyễn Phúc Lai,1,39.0,39000.0,128.0,1,8.5,7,3,3,"Ô tô, Mặt phố, Kinh doanh"
1,6,Tây Sơn,1,7.2,7200.0,50.0,1,6.0,6,3,4,"Dòng tiền, Ngõ"
1,6,Đê La Thành,1,8.5,8500.0,60.0,1,5.6,6,4,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Tôn Đức Thắng,1,32.5,32500.0,72.0,1,4.5,6,1,4,Mặt phố
1,6,La Thành,1,28.8,28800.0,118.0,1,3.5,17,17,7,Dòng tiền
1,6,Thái Hà,1,12.0,12000.0,61.0,1,4.6,4,4,4,Ô tô
1,6,Nguyễn Lương Bằng,1,6.0,6000.0,42.0,1,5.6,6,4,4,Ngõ
1,6,Láng Hạ,1,60.0,60000.0,129.0,1,5.9,8,4,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Trung Tả,1,9.5,9500.0,60.0,1,6.0,6,6,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Láng,1,7.5,7500.0,33.0,1,3.0,5,5,5,Ngõ
1,6,Chợ Khâm Thiên,1,2.05,2050.0,18.0,1,4.0,5,5,5,Ngõ
1,6,Chợ Khâm Thiên,1,2.48,2480.0,18.0,1,3.1,4,2,4,Ngõ
1,6,Trần Quang Diệu,1,39.0,39000.0,87.0,1,5.2,2,1,4,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
1,6,Chợ Khâm Thiên,1,4.6,4600.0,32.0,1,4.0,3,3,4,Ngõ
1,6,Nguyễn Chí Thanh,1,13.2,13200.0,48.0,1,4.3,4,1,4,Ngõ
1,6,Trường Chinh,1,9.9,9900.0,50.0,1,4.4,4,2,2,"Ô tô, Kinh doanh, Ngõ"
1,6,Hào Nam,1,20.0,20000.0,62.0,1,6.0,8,6,7,"Ô tô, Thang máy, Kinh doanh"
1,6,Chợ Khâm Thiên,1,5.5,5500.0,62.0,1,5.3,7,3,4,Ngõ
1,6,Hồ Bãi Cát,1,5.35,5350.0,37.0,1,4.0,6,4,4,Ngõ
1,6,Giảng Võ,1,70.0,70000.0,154.0,1,6.2,6,3,4,"Ô tô, Kinh doanh, Mặt phố"
1,6,Văn Chương,1,9.3,9300.0,61.0,1,2.7,2,2,2,"Kinh doanh, Ngõ"
1,6,Nguyễn Chí Thanh,1,14.0,14000.0,42.0,1,3.3,6,1,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Hào Nam,1,27.5,27500.0,60.0,1,3.9,11,1,6,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Trường Chinh,1,4.5,4500.0,25.0,1,3.0,3,3,5,Ngõ
1,6,Hoàng Cầu,1,40.5,40500.0,89.0,1,4.0,6,2,4,Ngõ
1,6,Văn Chương,1,6.95,6950.0,25.0,1,3.0,3,3,4,"Ô tô, Kinh doanh, Dòng tiền"
1,6,Chùa Bộc,1,12.5,12500.0,42.0,1,3.2,8,8,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Yên Lãng,1,16.0,16000.0,71.0,1,5.5,10,10,6,"Ô tô, Kinh doanh, Thang máy, Ngõ"
1,6,Yên Lãng,1,13.0,13000.0,60.0,1,3.4,4,4,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Thái Hà,1,12.5,12500.0,58.0,1,3.2,2,2,3,"Ô tô, Kinh doanh, Ngõ"
1,6,chợ Khâm Thiên,1,4.5,4500.0,31.0,1,4.0,4,5,5,Ngõ
1,6,Tôn Đức Thắng,1,17.4,17400.0,35.0,1,8.0,4,4,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
1,6,Thái Hà,1,7.5,7500.0,45.0,1,3.5,6,4,5,Ngõ
1,6,Thái Hà,1,63.0,63000.0,224.0,1,7.0,6,6,9,"Ô tô, Kinh doanh, Dòng tiền, Thang máy, Ngõ"
1,6,Cát Linh,1,22.0,22000.0,64.0,1,4.9,6,2,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Hào Nam,1,9.2,9200.0,55.0,1,4.3,5,3,5,"Ô tô, Mặt phố"
1,6,Khương Thượng,1,8.8,8800.0,30.0,1,3.0,4,3,4,Ngõ
1,6,Thịnh Quang,1,12.5,12500.0,65.0,1,4.0,6,2,4,"Ô tô, Kinh doanh"
1,6,Thái Thịnh,1,13.5,13500.0,57.0,1,3.6,8,6,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Đường Láng,1,9.2,9200.0,50.0,1,3.6,6,4,5,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
1,6,Đặng Tiến Đông,1,30.0,30000.0,96.0,1,4.0,8,8,4,"Ô tô, Ngõ"
1,6,An Trạch 1,1,13.0,13000.0,90.0,1,5.0,6,6,3,"Ô tô, Kinh doanh, Ngõ"
1,6,Hồ Đắc Di,1,12.5,12500.0,36.0,1,3.0,5,5,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Cống Trắng,1,8.6,8600.0,86.0,1,4.2,6,2,4,Ngõ
1,6,Phương Mai,1,10.3,10300.0,65.0,1,3.5,8,8,3,Kinh doanh
1,6,Tôn Đức Thắng,1,3.2,3200.0,32.0,1,3.0,3,3,3,Ngõ
1,6,Trần Quý Cáp,1,10.0,10000.0,42.0,1,5.5,3,3,3,"Ô tô, Mặt phố, Dòng tiền, Kinh doanh"
1,6,La Thành,1,13.6,13600.0,55.0,1,3.8,8,3,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Linh Quang,1,2.1,2100.0,23.0,1,4.2,2,1,3,Ngõ
1,6,La Thành,1,7.5,7500.0,29.0,1,2.9,4,3,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Linh Quang B,1,5.2,5200.0,44.0,1,3.3,3,3,4,Ngõ
1,6,Thịnh Quang,1,16.2,16200.001,90.0,1,6.0,9,6,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Nguyễn Lương Bằng,1,28.0,28000.0,90.0,1,4.0,3,3,3,"Kinh doanh, Dòng tiền, Ô tô"
1,6,Khâm Thiên,1,15.6,15600.0,40.0,1,3.6,4,3,4,"Mặt phố, Kinh doanh"
1,6,Thái Thịnh 1,1,12.0,12000.0,45.0,1,4.7,10,2,7,"Ô tô, Kinh doanh, Thang máy, Ngõ"
1,6,Quốc Tử Giám,1,16.0,16000.0,30.0,1,3.3,3,3,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Xã Đàn,1,6.5,6500.0,31.0,1,1.2,3,3,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Khương Thượng,1,6.2,6200.0,30.0,1,2.6,4,4,5,"Mặt phố, Kinh doanh"
1,6,Xã Đàn,1,8.75,8750.0,40.0,1,5.5,5,5,5,Ngõ
1,6,Đê La Thành nhỏ,1,21.0,21000.0,81.0,1,5.2,4,2,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Hồ Văn Chương,1,32.0,32000.0,76.0,1,8.2,10,10,5,"Mặt phố, Kinh doanh, Ô tô, Dòng tiền"
1,6,Phạm Ngọc Thạch,1,14.7,14700.0,35.0,1,2.8,5,4,4,"Mặt phố, Kinh doanh, Ô tô"
1,6,Nguyễn Phúc Lai,1,40.0,40000.0,100.0,1,6.2,8,8,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Đê La Thành,1,12.0,12000.0,42.0,1,3.1,4,3,5,"Ô tô, Mặt phố, Kinh doanh"
1,6,Đê La Thành,1,12.5,12500.0,36.0,1,3.5,2,1,6,Mặt phố
1,6,Toàn Thắng,1,4.9,4900.0,48.0,1,4.7,5,3,3,Ngõ
1,6,Xã Đàn,1,15.5,15500.0,93.0,1,4.5,7,7,6,"Ô tô, Ngõ"
1,6,Nguyễn Chí Thanh,1,15.2,15200.0,38.0,1,4.1,6,3,4,"Mặt phố, Kinh doanh"
1,6,Tây Sơn,1,5.0,5000.0,30.0,1,5.2,6,6,4,Ngõ
1,6,Đặng Văn Ngữ,1,8.5,8500.0,51.0,1,3.9,6,1,4,"Ô tô, Ngõ"
1,6,Xã Đàn,1,17.8,17800.0,80.0,1,4.6,18,1,7,"Kinh doanh, Ngõ"
1,6,Tôn Đức Thắng,1,9.6,9600.0,21.0,1,3.4,3,3,5,"Ô tô, Mặt phố, Kinh doanh"
1,6,Hoàng Cầu,1,7.8,7800.0,52.0,1,3.7,2,2,4,"Mặt phố, Kinh doanh"
1,6,Xã Đàn,1,36.5,36500.0,170.0,1,4.8,4,4,4,"Mặt phố, Kinh doanh"
1,6,Hồ Ba Mẫu,1,10.5,10500.0,50.0,1,10.0,4,2,3,"Kinh doanh, Ô tô, Mặt phố"
1,6,Nguyễn Lương Bằng,1,7.3,7300.0,20.0,1,6.0,2,2,3,"Ô tô, Mặt phố, Kinh doanh"
1,6,Phương Mai,1,1.98,1980.0,50.0,1,6.0,3,1,1,"Kinh doanh, Ngõ"
1,6,Cát Linh,1,5.2,5200.0,52.0,1,5.0,4,2,5,Ngõ
1,6,Đê La Thành nhỏ,1,8.8,8800.0,36.0,1,4.1,5,1,7,Ngõ
1,6,Khương Thượng,1,8.6,8600.0,40.0,1,3.15,6,4,4,Ngõ
1,6,Kiến Thiết Khâm Thiên,1,6.15,6150.0,33.0,1,4.0,3,3,4,Ngõ
1,6,Nguyễn Khuyến,1,17.8,17800.0,40.0,1,4.0,10,5,6,"Ô tô, Mặt phố, Kinh doanh"
1,6,Khâm Đức,1,4.15,4150.0,30.0,1,3.5,2,2,4,Ngõ
1,6,Trần Quý Cáp,1,11.9,11900.0,38.0,1,3.0,6,3,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Cát Linh,1,30.3,30300.0,100.0,1,3.3,14,14,7,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
1,6,Chùa Bộc,1,27.5,27500.0,55.0,1,3.0,3,3,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Khâm Thiên,1,32.0,32000.0,90.0,1,4.0,12,12,5,"Mặt phố, Kinh doanh"
1,6,La Thành Nhỏ,1,5.3,5300.0,22.0,1,2.6,2,3,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Đông Tác,1,7.0,7000.0,61.0,1,5.0,4,3,3,Ngõ
1,6,Vĩnh Hồ,1,12.052,12052.0,24.4,1,3.45,6,4,4,"Mặt phố, Kinh doanh"
1,6,"A,B Linh Quang",1,10.0,10000.0,31.0,1,4.3,1,1,5,"Ô tô, Kinh doanh"
1,6,Thịnh Quang,1,10.0,10000.0,40.0,1,6.4,6,7,6,Thang máy
1,6,Thịnh Hào 3,1,8.2,8200.0,40.0,1,3.2,4,4,5,"Kinh doanh, Thang máy, Dòng tiền, Ngõ"
1,6,Nguyễn Chí Thanh,1,16.5,16500.0,90.0,1,7.5,7,5,5,"Ô tô, Ngõ"
1,6,Chùa Bộc,1,32.0,32000.0,53.0,1,3.2,10,5,5,"Mặt phố, Ô tô, Kinh doanh"
1,6,Đường Láng,1,5.8,5800.0,58.0,1,3.3,5,3,3,"Kinh doanh, Ngõ"
1,6,Phương Mai,1,18.0,18000.0,48.0,1,10.0,7,6,6,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
1,6,Trường Chinh,1,8.5,8500.0,52.0,1,5.8,6,3,4,Ngõ
1,6,Thổ Quan,1,4.8,4800.0,39.0,1,5.2,5,5,5,Ngõ
1,6,Chợ Khâm Thiên,1,2.4,2400.0,16.0,1,3.6,3,3,4,Ngõ
1,6,Tôn Đức Thắng,1,35.0,35000.0,72.0,1,7.2,4,2,3,Kinh doanh
1,6,Nguyễn Lương Bằng,1,6.0,6000.0,36.0,1,7.0,4,2,3,Ngõ
1,6,Hào Nam,1,33.9,33900.0,86.0,1,4.0,6,3,5,Ngõ
1,6,Pháo Đài Láng,1,25.0,25000.0,71.0,1,4.4,10,10,6,Ngõ
1,6,Chợ Khâm Thiên,1,4.25,4250.0,19.0,1,3.0,4,3,4,Ngõ
1,6,Xã Đàn 2,1,27.5,27500.0,88.0,1,2.16,6,1,5,"Kinh doanh, Ngõ"
1,6,Nguyễn Lương Bằng,1,8.3,8300.0,48.0,1,3.4,5,2,3,Ngõ
1,6,Hoàng An,1,5.95,5950.0,40.0,1,3.6,4,1,4,Ngõ
1,6,Khâm Thiên,1,3.75,3750.0,22.0,1,1.4,3,3,4,Ngõ
1,6,Hào Nam,1,16.9,16900.0,62.0,1,4.0,17,17,7,"Dòng tiền, Ngõ"
1,6,Thịnh Hào 2,1,3.55,3550.0,16.0,1,3.0,3,4,4,Ngõ
1,6,Yên Lãng,1,9.95,9950.0,49.0,1,3.4,3,2,2,Ngõ
1,6,Nguyễn Lương Bằng,1,20.0,20000.0,53.0,1,3.2,8,4,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Láng,1,12.5,12500.0,85.0,1,3.5,4,2,3,"Ô tô, Kinh doanh, Ngõ"
1,6,Tôn Đức Thắng,1,5.8,5800.0,18.0,1,3.6,3,3,3,"Ô tô, Mặt phố, Kinh doanh"
1,6,Đường Láng,1,19.5,19500.0,52.0,1,4.8,12,12,7,"Ô tô, Kinh doanh, Dòng tiền, Thang máy, Ngõ"
1,6,Khâm Thiên,1,6.5,6500.0,31.0,1,3.3,3,4,5,Ngõ
1,6,Phổ Giác,1,3.6,3600.0,27.0,1,3.0,4,4,5,"Mặt phố, Kinh doanh"
1,6,Đặng Tiến Đông,1,8.35,8350.0,38.0,1,5.3,1,1,5,Ngõ
1,6,Đê La Thành,1,6.3,6300.0,30.0,1,3.5,3,3,5,Ngõ
1,6,Linh Quang,1,13.75,13750.0,50.0,1,6.4,5,5,6,"Thang máy, Ngõ"
1,6,Linh Quang,1,13.75,13750.0,50.0,1,6.4,5,5,6,Ngõ
1,6,Phương Mai,1,5.35,5350.0,46.0,1,4.0,5,3,4,Ngõ
1,6,Yên Lãng,1,17.6,17600.0,38.0,1,3.5,5,3,5,"Mặt phố, Kinh doanh, Dòng tiền, Ô tô"
1,6,Quan Thổ III,1,5.2,5200.0,31.0,1,3.9,4,2,4,Ngõ
1,6,Thành Công,1,11.6,11600.0,47.0,1,4.5,10,10,7,Ngõ
1,6,Láng Hạ,1,11.0,11000.0,30.0,1,3.2,3,3,3,"Mặt phố, Kinh doanh"
1,6,Đê La Thành,1,28.5,28500.0,90.0,1,4.1,3,3,2,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Giảng Võ,1,6.4,6400.0,26.0,1,3.4,4,1,4,Ngõ
1,6,Tây Sơn,1,22.5,22500.0,54.0,1,3.6,5,3,4,"Mặt phố, Kinh doanh"
1,6,Lê Duẩn,1,7.2,7200.0,22.0,1,2.5,4,4,4,"Mặt phố, Kinh doanh"
1,6,Nguyễn Lương Bằng,1,26.5,26500.0,100.0,1,10.0,3,1,3,"Mặt phố, Kinh doanh"
1,6,Trường Chinh,1,27.5,27500.0,79.0,1,4.7,19,10,9,"Thang máy, Dòng tiền, Ngõ"
1,6,Tây Sơn,1,7.9,7900.0,56.0,1,4.5,7,4,4,"Dòng tiền, Ngõ"
1,6,Lệnh Cư,1,3.25,3250.0,17.0,1,2.8,3,3,5,Ngõ
1,6,Trung Tả,1,5.78,5780.0,27.0,1,3.3,4,4,6,Ngõ
1,6,Hào Nam,1,16.2,16200.001,43.0,1,3.6,5,4,5,"Mặt phố, Kinh doanh, Ô tô"
