province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,006,Vĩnh Hồ,1,9.3,9300.0,42.0,1,3.1,4,1,5,Ngõ
01,006,Nguyễn Lương Bằng,1,10.9,10900.0,45.0,1,3.6,5,2,3,Ngõ
01,006,Đặng Văn Ngữ,1,3.85,3850.0,22.0,1,3.6,4,2,4,Ngõ
01,006,Chợ Khâm Thiên,1,4.75,4750.0,25.0,1,4.0,4,2,4,Ngõ
01,006,Đường Láng,1,7.5,7500.0,45.0,1,4.4,7,5,5,Ngõ
01,006,Pháo Đài Láng,1,24.0,24000.0,90.0,1,6.5,22,1,8,"Dòng tiền, Thang máy, Ngõ"
01,006,Đường Láng,1,220.0,220000.0,242.0,1,22.0,0,0,12,"Ô tô, Mặt phố, Kinh doanh, Thang máy"
01,006,Láng,1,12.99,12990.0,43.0,1,3.5,4,2,5,"Ô tô, Ngõ"
01,006,Tô Tiền,1,4.2,4200.0,24.0,1,3.0,3,3,4,Ngõ
01,006,Phạm Ngọc Thạch,1,9.9,9900.0,25.0,1,3.8,0,0,1,"Mặt phố, Kinh doanh, Ô tô"
01,006,Phương Mai,1,9.5,9500.0,45.0,1,4.1,7,4,4,"Ô tô, Kinh doanh"
01,006,Giảng Võ,1,5.8,5800.0,30.0,1,3.4,4,4,5,"Kinh doanh, Ngõ"
01,006,Trần Hữu Tước,1,11.8,11800.0,44.0,1,4.4,6,0,6,"Thang máy, Dòng tiền, Ngõ"
01,006,Tôn Đức Thắng,1,11.8,11800.0,40.0,1,4.5,4,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Nam Đồng,1,14.95,14950.0,73.0,1,7.4,4,0,3,"Ô tô, Mặt phố"
01,006,Phạm Ngọc Thạch,1,10.3,10300.0,34.0,1,3.0,5,3,4,Ngõ
01,006,Hào Nam,1,16.9,16900.0,62.0,1,4.0,17,17,7,Ngõ
01,006,Hồ Giám,1,68.0,68000.0,241.0,1,6.0,0,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Nguyễn Khuyến,1,63.0,63000.0,260.0,1,10.0,0,0,2,Mặt phố
01,006,Lệnh Cư,1,5.85,5850.0,33.0,1,5.6,4,0,5,"Dòng tiền, Ngõ"
01,006,Nguyễn Phúc Lai,1,32.0,32000.0,90.0,1,5.5,6,4,6,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,006,Thịnh Hào 1,1,18.2,18200.0,68.0,1,6.0,0,0,4,"Ô tô, Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,006,Thái Hà,1,16.5,16500.0,56.0,1,5.4,8,3,5,Ngõ
01,006,Nguyên Hồng,1,37.5,37500.0,84.0,1,7.0,10,10,8,"Ô tô, Kinh doanh, Dòng tiền, Thang máy"
01,006,Nguyên Hồng,1,23.0,23000.0,76.0,1,3.1,5,2,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,+ 12A Đê La Thành Nhỏ,1,11.5,11500.0,60.0,1,6.8,8,0,5,Ngõ
01,006,Lê Duẩn,1,16.0,16000.0,42.0,1,4.5,0,0,4,"Mặt phố, Kinh doanh, Ô tô"
01,006,Quan Thổ 3,1,10.9,10900.0,41.0,1,3.8,2,1,4,Ngõ
01,006,Xã Đàn 2,1,8.2,8200.0,38.0,1,3.8,4,0,4,Ngõ
01,006,Nguyễn Lương Bằng,1,12.0,12000.0,53.0,1,3.8,0,0,4,Ngõ
01,006,An Trạch 1,1,10.5,10500.0,117.0,1,11.0,0,0,1,Ngõ
01,006,Văn Hương,1,3.95,3950.0,32.0,1,11.0,4,1,5,Ngõ
01,006,phố Chợ Khâm Thiên,1,10.0,10000.0,36.0,1,11.0,2,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,Thịnh hào 1,1,5.8,5800.0,25.0,1,3.1,5,1,5,Ngõ
01,006,+ 329 Tây Sơn,1,60.0,60000.0,156.0,1,6.1,0,0,1,"Mặt phố, Ô tô, Kinh doanh"
01,006,Phương Mai,1,9.4,9400.0,44.0,1,3.2,5,4,6,Thang máy
01,006,Giảng Võ,1,9.2,9200.0,42.0,1,3.9,6,4,4,"Kinh doanh, Ngõ"
01,006,Trung Tả Khâm Thiên,1,7.5,7500.0,65.0,1,3.3,11,0,5,"Kinh doanh, Ngõ"
01,006,Hoàng Cầu,1,106.0,106000.0,240.0,1,11.0,6,3,9,"Kinh doanh, Ô tô, Mặt phố"
01,006,Nguyễn Phúc Lai,1,39.0,39000.0,128.0,1,8.5,8,3,3,"Ô tô, Mặt phố, Kinh doanh"
